epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.8138,1.0647,2.21158,1.33406,0.65799,0.50488,0.55073,0.36688,1.31319,2.3158,1.47438,0.0675409,0.000245283,0.000245283
2,67.3211,1.03673,1.27601,1.32163,0.67827,0.64868,0.65676,0.47693,0.90599,1.92773,1.30826,0.0344526,0.00049038,0.00049038
3,98.7607,1.10167,1.35697,1.36727,0.67018,0.51614,0.5682,0.40578,1.07799,2.18132,1.35209,0.00135946,0.000730526,0.000730526
4,129.594,1.10318,1.24937,1.34989,0.67936,0.67717,0.66458,0.49415,0.92016,1.81301,1.2401,0.000727725,0.000727725,0.000727725
5,161.426,1.07287,1.23606,1.33857,0.74385,0.64773,0.69899,0.52252,0.99809,1.54678,1.31811,0.0007203,0.0007203,0.0007203
6,192.511,1.0327,1.15089,1.31833,0.80969,0.70941,0.78032,0.57455,0.9535,1.28491,1.27036,0.000712875,0.000712875,0.000712875
7,224.467,1.02323,1.15754,1.29819,0.87703,0.74283,0.82857,0.62571,0.84604,1.08404,1.12444,0.00070545,0.00070545,0.00070545
8,259.389,0.99498,1.09559,1.28492,0.79633,0.7826,0.82115,0.66167,0.79564,1.17326,1.14481,0.000698025,0.000698025,0.000698025
9,291.397,0.99322,1.04588,1.27769,0.85969,0.77229,0.82832,0.64072,0.86791,0.95524,1.16455,0.0006906,0.0006906,0.0006906
10,321.757,0.94668,1.03741,1.25027,0.89872,0.7642,0.85844,0.68873,0.73134,0.89858,1.09772,0.000683175,0.000683175,0.000683175
11,356.786,0.91602,0.95227,1.23689,0.88155,0.75605,0.85056,0.6698,0.80429,0.92106,1.15606,0.00067575,0.00067575,0.00067575
12,387.18,0.90646,0.95997,1.22507,0.90551,0.8112,0.88699,0.7319,0.76438,0.8545,1.11285,0.000668325,0.000668325,0.000668325
13,419.533,0.92122,0.9693,1.23633,0.88489,0.80336,0.87303,0.71338,0.72341,0.99476,1.08176,0.0006609,0.0006609,0.0006609
14,450.485,0.86965,0.90406,1.20531,0.94282,0.82558,0.88496,0.72129,0.75013,0.76236,1.08743,0.000653475,0.000653475,0.000653475
15,480.941,0.84726,0.88599,1.18989,0.87334,0.80391,0.86357,0.70915,0.74821,0.83014,1.1162,0.00064605,0.00064605,0.00064605
