epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.8558,0.94297,2.2097,1.19795,0.6375,0.65796,0.69972,0.5816,0.70008,1.91911,0.94596,0.0674591,0.000163522,0.000163522
2,39.4748,0.83983,1.23522,1.09556,0.86378,0.69653,0.80736,0.65525,0.72961,1.04719,0.95802,0.0342859,0.000323651,0.000323651
3,55.8953,0.80504,1.00699,1.0627,0.75686,0.80896,0.84211,0.67872,0.69589,1.01471,0.91094,0.00110611,0.00047718,0.00047718
4,74.2014,0.74153,0.87286,1.0101,0.88963,0.7888,0.86596,0.7104,0.66729,0.90843,0.91466,0.0004703,0.0004703,0.0004703
5,92.2897,0.73944,0.79372,1.00317,0.93446,0.81274,0.90415,0.75133,0.67885,0.73646,0.90359,0.0004604,0.0004604,0.0004604
6,109.326,0.72633,0.74109,0.99821,0.94608,0.84038,0.90802,0.75113,0.65857,0.7552,0.90494,0.0004505,0.0004505,0.0004505
7,125.649,0.69435,0.69269,0.99045,0.93887,0.86739,0.92497,0.76615,0.65075,0.66863,0.88279,0.0004406,0.0004406,0.0004406
8,145.01,0.64986,0.66056,0.96152,0.93749,0.89123,0.93032,0.79087,0.59983,0.65123,0.86695,0.0004307,0.0004307,0.0004307
9,161.88,0.67809,0.65084,0.96946,0.96332,0.85477,0.93194,0.79411,0.63122,0.62119,0.88789,0.0004208,0.0004208,0.0004208
10,179.197,0.67033,0.63718,0.98059,0.96451,0.85434,0.92677,0.79605,0.60823,0.59707,0.87852,0.0004109,0.0004109,0.0004109
11,195.739,0.61594,0.57999,0.94406,0.9318,0.88284,0.91997,0.81049,0.56953,0.58635,0.87168,0.000401,0.000401,0.000401
12,213.365,0.59765,0.56397,0.93736,0.94575,0.85819,0.92142,0.79251,0.58813,0.5615,0.87451,0.0003911,0.0003911,0.0003911
13,231.045,0.58333,0.53663,0.93263,0.97343,0.87443,0.93668,0.81754,0.54326,0.50494,0.86012,0.0003812,0.0003812,0.0003812
14,247.502,0.59264,0.54636,0.93861,0.96507,0.88369,0.92925,0.82004,0.55009,0.53581,0.86681,0.0003713,0.0003713,0.0003713
15,265.328,0.57254,0.50559,0.92968,0.97271,0.89896,0.93904,0.82598,0.54695,0.53428,0.85632,0.0003614,0.0003614,0.0003614
16,281.743,0.57918,0.51689,0.93124,0.98388,0.88777,0.93654,0.81694,0.55315,0.51524,0.8512,0.0003515,0.0003515,0.0003515
17,298.375,0.55547,0.505,0.92195,0.99251,0.89829,0.94012,0.83063,0.53017,0.50858,0.84917,0.0003416,0.0003416,0.0003416
18,314.866,0.53288,0.47023,0.90923,0.992,0.88401,0.94452,0.83132,0.52959,0.49323,0.84888,0.0003317,0.0003317,0.0003317
19,332.455,0.53251,0.45885,0.89798,0.96515,0.90364,0.93735,0.8312,0.50684,0.49717,0.84191,0.0003218,0.0003218,0.0003218
20,348.779,0.52994,0.45765,0.90517,0.97086,0.90533,0.9441,0.83354,0.51631,0.46876,0.83727,0.0003119,0.0003119,0.0003119
21,364.924,0.50246,0.41467,0.89732,0.96287,0.8971,0.9434,0.84396,0.5044,0.46958,0.83362,0.000302,0.000302,0.000302
