epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1466,1.07204,1.93548,1.37061,0.63474,0.5518,0.59607,0.40275,1.18376,1.86598,1.62586,0.0674648,0.000328638,0.000328638
2,116.804,1.08589,1.28064,1.39589,0.51314,0.65343,0.53149,0.3243,1.27041,4.57908,1.697,0.0344582,0.000655418,0.000655418
3,173.131,1.17154,1.28578,1.47172,0.50184,0.52532,0.44275,0.2885,1.30183,4.84118,1.72933,0.00144508,0.000975598,0.000975598
4,229.215,1.15563,1.25717,1.4707,0.76935,0.70616,0.78639,0.54358,1.0021,1.70703,1.31084,0.0009703,0.0009703,0.0009703
5,285.651,1.06743,1.13843,1.40577,0.73663,0.48411,0.54987,0.37577,1.33031,2.27646,1.6714,0.0009604,0.0009604,0.0009604
6,342.268,1.03153,1.07831,1.36981,0.78678,0.69584,0.74704,0.56641,1.09431,1.36122,1.43081,0.0009505,0.0009505,0.0009505
7,404.12,0.98949,1.04252,1.33031,0.86467,0.76677,0.82846,0.67129,0.87801,1.09898,1.22956,0.0009406,0.0009406,0.0009406
8,465.207,0.97339,0.99695,1.31089,0.84881,0.74132,0.81606,0.61871,0.9996,1.00796,1.36407,0.0009307,0.0009307,0.0009307
9,521.968,0.93063,0.98567,1.28123,0.9079,0.76291,0.84487,0.67482,0.89832,1.02299,1.27262,0.0009208,0.0009208,0.0009208
10,578.513,0.90186,0.92005,1.26878,0.87037,0.80056,0.86881,0.69848,0.82602,0.90232,1.19502,0.0009109,0.0009109,0.0009109
11,637.836,0.88779,0.87766,1.24844,0.93945,0.79641,0.87049,0.70003,0.83636,0.96912,1.18083,0.000901,0.000901,0.000901
12,699.208,0.86604,0.85556,1.22864,0.90597,0.79215,0.86617,0.69684,0.83227,0.97503,1.18239,0.0008911,0.0008911,0.0008911
13,755.076,0.84253,0.83416,1.21048,0.94219,0.7768,0.8837,0.72598,0.70912,0.77173,1.07695,0.0008812,0.0008812,0.0008812
14,811.378,0.80759,0.76257,1.19012,0.90757,0.87614,0.91817,0.78062,0.67899,0.64984,1.04725,0.0008713,0.0008713,0.0008713
15,872.831,0.80606,0.80268,1.19538,0.90116,0.84914,0.90184,0.76169,0.68995,0.79003,1.0803,0.0008614,0.0008614,0.0008614
16,929.14,0.78449,0.74772,1.17996,0.91098,0.87058,0.91879,0.77077,0.70965,0.71197,1.06437,0.0008515,0.0008515,0.0008515
17,985.079,0.76845,0.74188,1.16745,0.94661,0.84571,0.91933,0.7626,0.68694,0.65746,1.07873,0.0008416,0.0008416,0.0008416
18,1041.22,0.76557,0.72283,1.15614,0.9142,0.83729,0.90978,0.75883,0.67961,0.72046,1.06019,0.0008317,0.0008317,0.0008317
19,1097.64,0.74719,0.71129,1.1433,0.94504,0.83777,0.90981,0.77937,0.64819,0.63123,1.0369,0.0008218,0.0008218,0.0008218
20,1153.44,0.7244,0.68303,1.13468,0.89807,0.89317,0.91403,0.73585,0.69596,0.66913,1.09367,0.0008119,0.0008119,0.0008119
21,1210.03,0.76063,0.69784,1.16035,0.95739,0.82499,0.91758,0.77169,0.69752,0.63635,1.06384,0.000802,0.000802,0.000802
22,1266.05,0.71273,0.65816,1.11329,0.97715,0.87667,0.92579,0.79896,0.6209,0.58018,1.02133,0.0007921,0.0007921,0.0007921
23,1327.57,0.69639,0.64622,1.10528,0.96313,0.87337,0.93134,0.78954,0.65924,0.60968,1.05918,0.0007822,0.0007822,0.0007822
24,1384.52,0.67755,0.63976,1.09882,0.91756,0.85971,0.91483,0.78797,0.63575,0.60914,1.02434,0.0007723,0.0007723,0.0007723
25,1441.37,0.67126,0.63134,1.09381,0.97113,0.91928,0.9435,0.81414,0.59732,0.50753,1.00516,0.0007624,0.0007624,0.0007624
26,1497.88,0.65554,0.58421,1.08267,0.96512,0.87936,0.93349,0.81236,0.5806,0.52291,0.98566,0.0007525,0.0007525,0.0007525
27,1554.26,0.67303,0.62701,1.09644,0.93194,0.88945,0.9272,0.79884,0.55415,0.56622,1.00365,0.0007426,0.0007426,0.0007426
28,1610.63,0.6649,0.60941,1.08356,0.96302,0.87662,0.93015,0.79937,0.60034,0.59714,0.99853,0.0007327,0.0007327,0.0007327
29,1666.47,0.64499,0.59474,1.07617,0.91166,0.88958,0.92237,0.81567,0.55552,0.5664,0.96028,0.0007228,0.0007228,0.0007228
30,1722.73,0.65718,0.59562,1.07714,0.96021,0.88492,0.93558,0.83024,0.57932,0.59156,0.98876,0.0007129,0.0007129,0.0007129
31,1784.71,0.63032,0.58303,1.07159,0.97549,0.89857,0.93545,0.81778,0.56993,0.54812,0.97667,0.000703,0.000703,0.000703
